date,lat,lon,zone,deaths,confirmed
256,-5.1525,-80.6578,1,2062.0,39724.0
256,-6.0347,-76.9742,1,751.0,22988.0
256,-3.5711,-80.4592,1,324.0,8852.0
257,-6.2294,-77.8728,1,238.0,17498.0
257,-7.1547,-78.5108,1,550.0,23278.0
257,-8.1,-79.0306,1,2344.0,34383.0
257,-6.7669,-79.8506,1,1817.0,29963.0
257,-3.7481,-73.2442,1,983.0,23626.0
257,-5.1525,-80.6578,1,2072.0,39831.0
257,-6.0347,-76.9742,1,752.0,23067.0
257,-3.5711,-80.4592,1,325.0,8861.0
258,-6.2294,-77.8728,1,238.0,17522.0
258,-7.1547,-78.5108,1,550.0,23349.0
258,-8.1,-79.0306,1,2344.0,34509.0
258,-6.7669,-79.8506,1,1823.0,30039.0
258,-3.7481,-73.2442,1,983.0,23714.0
258,-5.1525,-80.6578,1,2077.0,39946.0
258,-6.0347,-76.9742,1,754.0,23120.0
258,-3.5711,-80.4592,1,325.0,8876.0
259,-6.2294,-77.8728,1,238.0,17635.0
259,-7.1547,-78.5108,1,551.0,23413.0
259,-8.1,-79.0306,1,2348.0,34625.0
259,-6.7669,-79.8506,1,1828.0,30165.0
259,-3.7481,-73.2442,1,983.0,23802.0
259,-5.1525,-80.6578,1,2077.0,40031.0
259,-6.0347,-76.9742,1,754.0,23204.0
259,-3.5711,-80.4592,1,325.0,8889.0
